Frequency,S11_Real,S11_Imaginary,
61214569,0.1174651813,-0.1020513123,
61314578,0.07129752775,-0.1537322778,
61414587,0.008236734011,-0.1811897834,
61514596,-0.0602508693,-0.1800571033,
61614606,-0.1219277131,-0.1510755236,
61714615,-0.1656573029,-0.09965848376,
61814624,-0.1836407622,-0.03488703561,
61914633,-0.1724077299,0.03153591104,
62014642,-0.1341101289,0.08635816867,
62114651,-0.07583420706,0.1191325459,
62214660,-0.009529155667,0.1236377343,
62314669,0.05195027304,0.09733898637,
62414678,0.09517508098,0.0479733187,
62514688,0.1119442545,-0.01522729383,
62614697,0.09889967995,-0.07890679161,
62714706,0.05981762062,-0.1302128097,
62814715,0.002434771307,-0.1589883062,
62914724,-0.06136717737,-0.1604694717,
63014733,-0.1191654667,-0.1344640665,
63114742,-0.1605968208,-0.0871214604,
63214751,-0.1781495584,-0.02697494331,
63314760,-0.1689720881,0.03500053768,
63414769,-0.1348640224,0.08716007887,
63514779,-0.08223090939,0.1201592752,
63614788,-0.02041328502,0.127180724,
63714797,0.03830334193,0.106526227,
63814806,0.08204450493,0.06290362684,
63914815,0.1015877688,0.004619300471,
64014824,0.09292949638,-0.05613549618,
64114833,0.05806541167,-0.105908444,
64214842,0.005242881123,-0.1346433951,
64314851,-0.05437156925,-0.1367423111,
64414860,-0.1087341029,-0.1124938673,
64514870,-0.1472730259,-0.06705403592,
64614879,-0.162320376,-0.009548890752,
64714888,-0.1513865551,0.04996489528,
64814897,-0.1162830361,0.09907386138,
64914906,-0.06315947932,0.1292834692,
65014915,-0.001668181272,0.1347000416,
65114924,0.05663890799,0.1135559719,
65214933,0.1005663656,0.06933146991,
65314942,0.1219033287,0.01103269067,
65414951,0.1159830071,-0.05075697662,
65514961,0.08432000896,-0.1033402935,
65614970,0.03433796918,-0.1366784235,
65714979,-0.02473374177,-0.1448468615,
65814988,-0.08079536225,-0.1269406715,
65914997,-0.1227942024,-0.08678192894,
66015006,-0.1429646477,-0.03305026104,
66115015,-0.1374089833,0.02429665411,
66215024,-0.1077731101,0.07350396942,
66315033,-0.05918135003,0.1049967832,
66415042,-0.00123758567,0.1123146785,
66515052,0.05448853682,0.09385137479,
66615061,0.0972572923,0.05284210905,
66715070,0.1179884575,-0.003375366106,
66815079,0.1126887229,-0.0627837442,
66915088,0.08271523537,-0.1141550028,
67015097,0.03370463952,-0.1471569584,
67115106,-0.02407801878,-0.1563579246,
67215115,-0.07972365623,-0.1402985111,
67315124,-0.1225056716,-0.1020853666,
67415133,-0.1448552979,-0.04989175365,
67515143,-0.1422209672,0.006688820641,
67615152,-0.1156509081,0.05625834306,
67715161,-0.06981942804,0.0892051084,
67815170,-0.01390987771,0.099300761,
67915179,0.0410459908,0.08310991093,
68015188,0.08408955838,0.044732308,
68115197,0.1055627481,-0.009420621968,
68215206,0.101530872,-0.06751795768,
68315215,0.07316257758,-0.1187126743,
68415224,0.02577542899,-0.1528551163,
68515234,-0.03132839923,-0.1635821624,
68615243,-0.08791883257,-0.1499748596,
68715252,-0.1331758131,-0.1140517356,
68815261,-0.1595753241,-0.06302949671,
68915270,-0.1624964979,-0.005832503716,
69015279,-0.1416965314,0.0468684361,
69115288,-0.100616545,0.08597058058,
69215297,-0.04698911253,0.1040761988,
69315306,0.008915632065,0.097425507,
69415315,0.05637799876,0.06745741176,
69515325,0.08564060631,0.01968424346,
69615334,0.0909737845,-0.03563386118,
69715343,0.07134753153,-0.08741157158,
69815352,0.03166180974,-0.1245317411,
