case,length,csv,f_max,n_raw,df_med,combo,df_hz,stop_hz,available,dmax,dd,N,detectable,alias_margin,peak_m,peak_error,peak_abs,bg90,bgmed,score90,tol,folded_m
无锡-1000m,1000.0,/mnt/data/cable_field_data/无锡-1000m/藕光.db8-A相.csv,200000000.0,49999,3999.900000002235,200k/1000M,200000.0,1000000000.0,False,,,,,,,,,,,,,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,5.01889696629836,2327.997212690448,327.9972126904481,480108.94952706975,35168.89111692254,11233.475625816807,13.65152366990756,350.0,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,3.345931310865573,2327.6625860967024,327.6625860967024,489874.58231128665,53496.24303871188,18011.715164962196,9.157177298540294,350.0,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,20k/100.0M,20000.0,99989000.0,True,5018.89696629836,0.5019398906188979,9999.0,True,2.50944848314918,2326.99333290921,326.99333290921004,418742.8370416426,73799.53202140711,28164.17079031147,5.674058162322457,350.0,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,25k/125.0M,25000.0,124984000.0,True,4015.1175730386876,0.4015519124951183,9999.0,True,2.007558786519344,2328.599540559191,328.59954055919115,467612.6199809915,61744.51979443392,22660.462526799154,7.573346129143357,350.0,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,30k/150.0M,30000.0,149979000.0,True,3345.931310865573,0.3346265937459319,9999.0,True,1.6729656554327865,2325.320199940481,325.32019994048096,418340.1783191873,96472.71263621318,43434.640173646825,4.336357576019418,350.0,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,40k/200.0M,40000.0,199969000.0,True,2509.44848314918,0.25096994530944894,9999.0,True,1.25472424157459,2324.4836334561155,324.4836334561155,601902.0215549314,126846.19821366825,44477.5732932919,4.745132530823251,350.0,
某地-2000m,2000.0,/mnt/data/cable_field_data/某地-2000m/2025-11-24 11.22.36-A相[末端开路].csv,1000000000.0,49999,697.0,200k/1000M,200000.0,1000000000.0,True,501.88969662983595,0.05018395126785681,10001.0,False,0.250944848314918,,,,,,,,494.33091011049214
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,10k/50.0M,10000.0,49999000.0,True,10037.79393259672,1.0038797812377958,9999.0,True,4.182414138581967,2122.2018575367,-277.7981424632999,24368.10438368492,44848.54093560211,13575.972404331236,0.5433421885156757,350.0,
某地-2400m,2400.0,/mnt/data/cable_field_data/某地-2400m/2025-10-27 10.32.26-A相[末端开路].csv,1000000000.0,49999,697.0,15k/75.0M,15000.0,74994000.0,True,6691.862621731146,0.6692531874918638,9999.0,True,2.7882760923879775,2130.2328957866025,-269.7671042133975,36046.63626655086,57702.38660980994,24342.119860004892,0.6246992262261575,350.0,
